"object","property","value"
"LETTER.OF.CREDIT>EXPIRY.DATE",,
"LETTER.OF.CREDIT>EXPIRY.PLACE",,
"LETTER.OF.CREDIT>CLOSING.DATE",,
"LETTER.OF.CREDIT>TENOR",,
"LETTER.OF.CREDIT>PART.SHIPMENTS|LC.ENRICHMENT","type","strong"
"LETTER.OF.CREDIT>TRANSSHIPMENTS",,
"LETTER.OF.CREDIT>BENEFICIARY.CUSTNO|CUSTOMER","type","strong"
"LETTER.OF.CREDIT>BENEFICIARY",,
"LETTER.OF.CREDIT>BENEFICIARY.ACC|ACCOUNT","type","strong"
"LETTER.OF.CREDIT>ADVISING.BK.CUSTNO|CUSTOMER","type","strong"
"LETTER.OF.CREDIT>ADVISING.BK.ACC|ACCOUNT","type","strong"
"LETTER.OF.CREDIT>THIRD.PARTY.CUSTNO|CUSTOMER","type","strong"
"LETTER.OF.CREDIT>THIRD.PARTY",,
"LETTER.OF.CREDIT>THIRD.PARTY.ACC",,
"LETTER.OF.CREDIT>ADVISE.THRU.CUSTNO|CUSTOMER","type","strong"
"LETTER.OF.CREDIT>ADVISE.THRU",,
"LETTER.OF.CREDIT>ADVISE.THRU.ACC|ACCOUNT","type","strong"
"LETTER.OF.CREDIT>RELATED.LC.NO|LETTER.OF.CREDIT","type","strong"
"LETTER.OF.CREDIT>PERCENTAGE.CR.AMT",,
"LETTER.OF.CREDIT>MAXIMUM.CR.AMT",,
"LETTER.OF.CREDIT>ADD.AMT.COVERED",,
"LETTER.OF.CREDIT>AVAIL.WITH.CUSTNO|CUSTOMER","type","strong"
"LETTER.OF.CREDIT>AVAILABLE.WITH",,
"LETTER.OF.CREDIT>DRAFTS.AT",,
"LETTER.OF.CREDIT>DRAWEE.CUST.NO|CUSTOMER","type","strong"
"LETTER.OF.CREDIT>DRAWEE",,
"LETTER.OF.CREDIT>NARRATIVE.CHRGS",,
"LETTER.OF.CREDIT>PRESENT.PERIOD",,
"LETTER.OF.CREDIT>CONFIRM.INST",,
"LETTER.OF.CREDIT>MIXED.PAYMENT",,
"LETTER.OF.CREDIT>DEFERRED.PAY",,
"LETTER.OF.CREDIT>SHIP.DESPATCH",,
"LETTER.OF.CREDIT>TRANSPORTATION",,
"LETTER.OF.CREDIT>LATEST.SHIPMENT",,
"LETTER.OF.CREDIT>SHIPMENT.PERIOD",,
"LETTER.OF.CREDIT>DOCUMENT.CODE",,
"LETTER.OF.CREDIT>DOC.1ST.COPIES",,
"LETTER.OF.CREDIT>DOC.2ND.COPIES",,
"LETTER.OF.CREDIT>REIMBURSE.FROM|LC.ENRICHMENT","type","strong"
"LETTER.OF.CREDIT>CHARGES.FROM|LC.ENRICHMENT","type","strong"
"LETTER.OF.CREDIT>CATEGORY.CODE|CATEGORY","type","strong"
"LETTER.OF.CREDIT>PRODCAT",,
"LETTER.OF.CREDIT>ACCOUNT.OFFICER|DEPT.ACCT.OFFICER","type","strong"
"LETTER.OF.CREDIT>OTHER.OFFICER|DEPT.ACCT.OFFICER","type","strong"
"LETTER.OF.CREDIT>BANK.TO.BANK",,
"LETTER.OF.CREDIT>WAIVE.CHARGES",,
"LETTER.OF.CREDIT>CHARGE.CODE",,
"LETTER.OF.CREDIT>CHARGE.CURRENCY|CURRENCY","type","strong"
"LETTER.OF.CREDIT>CHARGE.AMOUNT",,
"LETTER.OF.CREDIT>PARTY.CHARGED|LC.ENRICHMENT","type","strong"
"LETTER.OF.CREDIT>AMORT.CHARGES",,
"LETTER.OF.CREDIT>RELATED.DRAWING",,
"LETTER.OF.CREDIT>CHARGE.LCCY.AMT",,
"LETTER.OF.CREDIT>CHARGE.ACC.AMT",,
"LETTER.OF.CREDIT>CHARGE.STATUS|LC.ENRICHMENT","type","strong"
"LETTER.OF.CREDIT>CHARGE.DATE",,
"LETTER.OF.CREDIT>TAX.CODE|TAX","type","strong"
"LETTER.OF.CREDIT>TAX.CCY|CURRENCY","type","strong"
"LETTER.OF.CREDIT>TAX.AMT",,
"LETTER.OF.CREDIT>TAX.PARTY|LC.ENRICHMENT","type","strong"
"LETTER.OF.CREDIT>TAX.REL.DRG",,
"LETTER.OF.CREDIT>TAX.LCCY.AMT",,
"LETTER.OF.CREDIT>TAX.ACC.AMT",,
"LETTER.OF.CREDIT>TAX.CHG.ST|LC.ENRICHMENT","type","strong"
"LETTER.OF.CREDIT>TAX.DATE",,
"LETTER.OF.CREDIT>WP.FILE",,
"LETTER.OF.CREDIT>DESC.GOODS",,
"LETTER.OF.CREDIT>DOCUMENTS.REQ",,
"LETTER.OF.CREDIT>ADDITIONL.CONDS",,
"LETTER.OF.CREDIT>INSTRUCTIONS",,
"LETTER.OF.CREDIT>NARRATIVE",,
"LETTER.OF.CREDIT>LIABILITY.AMT",,
"LETTER.OF.CREDIT>LC.AMOUNT.LOCAL",,
"LETTER.OF.CREDIT>DRAWINGS",,
"LETTER.OF.CREDIT>OSUSANCE.NO",,
"LETTER.OF.CREDIT>OSUSANCE.VAL",,
"LETTER.OF.CREDIT>OSCOLLECT.NO",,
"LETTER.OF.CREDIT>OSCOLLECT.VAL",,
"LETTER.OF.CREDIT>DISCOUNT.NO",,
"LETTER.OF.CREDIT>DISCOUNT.VAL",,
"LETTER.OF.CREDIT>NEXT.DRAWING",,
"LETTER.OF.CREDIT>PAYMENT.AMT",,
"LETTER.OF.CREDIT>DELIVERY.REF",,
"LETTER.OF.CREDIT>CONSOL.KEY",,
"LETTER.OF.CREDIT>STMT.ENTRY.NO",,
"LETTER.OF.CREDIT>ISSUING.BANK",,
"LETTER.OF.CREDIT>ISSUING.BANK.ACC|ACCOUNT","type","strong"
"LETTER.OF.CREDIT>APPLICANT.CUSTNO|CUSTOMER","type","strong"
"LETTER.OF.CREDIT>APPLICANT",,
"LETTER.OF.CREDIT>APPLICANT.ACC|ACCOUNT","type","strong"
"LETTER.OF.CREDIT>ADVISING.BK",,
"LETTER.OF.CREDIT>PERCENTAGE.DR.AMT",,
"LETTER.OF.CREDIT>DAYS",,
"LETTER.OF.CREDIT>DATE.ACCEPTED",,
"LETTER.OF.CREDIT>AMENDMENTS",,
"LETTER.OF.CREDIT>BOOKING.DATE",,
"LETTER.OF.CREDIT>LAST.TRACE.DTE",,
"LETTER.OF.CREDIT>LAST.TRACE.INFO",,
"LETTER.OF.CREDIT>CONFIRM.COMM",,
"LETTER.OF.CREDIT>OPENING.COMM",,
"LETTER.OF.CREDIT>FULLY.UTILISED",,
"LETTER.OF.CREDIT>CON.PARTY.CHG",,
"LETTER.OF.CREDIT>OPN.PARTY.CHG",,
"LETTER.OF.CREDIT>AWAITING.MT701",,
"LETTER.OF.CREDIT>OLD.LC.NUMBER",,
"LETTER.OF.CREDIT>ADVISE.THUR.REF",,
"LETTER.OF.CREDIT>AMENDMENT.NO",,
"LETTER.OF.CREDIT>AMENDMENT.DTE",,
"LETTER.OF.CREDIT>AMENDMENT.DEL",,
"LETTER.OF.CREDIT>ISSUE.BK.KEYED",,
"LETTER.OF.CREDIT>BACK.TO.BACK",,
"LETTER.OF.CREDIT>PROVISION",,
"LETTER.OF.CREDIT>REL.PROVIS",,
"LETTER.OF.CREDIT>PROVIS.ACC|ACCOUNT","type","strong"
"LETTER.OF.CREDIT>PROVIS.PERCENT",,
"LETTER.OF.CREDIT>PROVIS.AMOUNT",,
"LETTER.OF.CREDIT>PRO.OUT.AMOUNT",,
"LETTER.OF.CREDIT>PRO.AWAIT.REL",,
"LETTER.OF.CREDIT>PROVISION.RATE",,
"LETTER.OF.CREDIT>BANK.TO.BK740",,
"LETTER.OF.CREDIT>OVERDRAWN.AMT",,
"LETTER.OF.CREDIT>CATEGORY",,
"LETTER.OF.CREDIT>BROKER.PERCENT",,
"LETTER.OF.CREDIT>CLAUSES.TEXT",,
"LETTER.OF.CREDIT>DOCUMENT.TXT",,
"LETTER.OF.CREDIT>PORT.NO.BEN",,
"LETTER.OF.CREDIT>PORT.NO.APP.ISS",,
"LETTER.OF.CREDIT>CREDIT.PROVIS.ACC|ACCOUNT","type","strong"
"LETTER.OF.CREDIT>ADVICE.EXPIRY.DATE",,
"LETTER.OF.CREDIT>MSG.CLASS.NO|EB.MESSAGE.CLASS","type","strong"
"LETTER.OF.CREDIT>CHARGE.ACCT|ACCOUNT","type","strong"
"LETTER.OF.CREDIT>CHARGE.PCT.RATE",,
"LETTER.OF.CREDIT>CHARGE.PERIOD",,
"LETTER.OF.CREDIT>CHARGE.XCHG",,
"LETTER.OF.CREDIT>PARENT.LC.NO|LETTER.OF.CREDIT","type","strong"
"LETTER.OF.CREDIT>TRAN.PORT.AMT",,
"LETTER.OF.CREDIT>TR.REIM.CUSTNO|CUSTOMER","type","strong"
"LETTER.OF.CREDIT>TR.REIMB.ADDR",,
"LETTER.OF.CREDIT>TR.REIM.ACCT|ACCOUNT","type","strong"
"LETTER.OF.CREDIT>REIM.INFO",,
"LETTER.OF.CREDIT>REIM.REFERENCE",,
"LETTER.OF.CREDIT>DRAW.TYPE",,
"LETTER.OF.CREDIT>PAYMENT.PCT",,
"LETTER.OF.CREDIT>PAY.PORTION",,
"LETTER.OF.CREDIT>ACPT.TM.BAND",,
"LETTER.OF.CREDIT>LIAB.PORT.AMT",,
"LETTER.OF.CREDIT>LCY.PORT.AMT",,
"LETTER.OF.CREDIT>REVOLVING.TYPE",,
"LETTER.OF.CREDIT>ASSN.REFERENCE",,
"LETTER.OF.CREDIT>ASSN.CUSTNO|CUSTOMER","type","strong"
"LETTER.OF.CREDIT>ASSN.ADD",,
"LETTER.OF.CREDIT>ASSN.AMOUNT",,
"LETTER.OF.CREDIT>ASSN.OS.AMT",,
"LETTER.OF.CREDIT>ASSN.NOTE",,
"LETTER.OF.CREDIT>NEG.DEALER.REFNO",,
"LETTER.OF.CREDIT>ADD.COVERED.AMT",,
"LETTER.OF.CREDIT>NO.OF.REVOLVING",,
"LETTER.OF.CREDIT>ACTIVITY.CODE",,
"LETTER.OF.CREDIT>TRANSFERRED.LC|LETTER.OF.CREDIT","type","strong"
"LETTER.OF.CREDIT>DRAWING.AMT",,
"LETTER.OF.CREDIT>PRO.OS.AMT",,
"LETTER.OF.CREDIT>PRO.AWAIT.AMT",,
"LETTER.OF.CREDIT>PORT.LIM.REF",,
"LETTER.OF.CREDIT>MESSAGE.TYPE|DE.MESSAGE","type","strong"
"LETTER.OF.CREDIT>OVR.CARRIER",,
"LETTER.OF.CREDIT>ADDRESSEE",,
"LETTER.OF.CREDIT>REVOLVING.FQY",,
"LETTER.OF.CREDIT>PORTION.NO",,
"LETTER.OF.CREDIT>PORT.OVERDRAW",,
"LETTER.OF.CREDIT>DB.PROV.AMOUNT",,
"LETTER.OF.CREDIT>PROV.EXCH.RATE",,
"LETTER.OF.CREDIT>SEND.MESSAGE",,
"LETTER.OF.CREDIT>PORT.TRF.AMT",,
"LETTER.OF.CREDIT>TAX.DR.ACCT|ACCOUNT","type","strong"
"LETTER.OF.CREDIT>PORT.CUM.TRF",,
"LETTER.OF.CREDIT>TRUST.REL",,
"LETTER.OF.CREDIT>TRACER.DATE",,
"LETTER.OF.CREDIT>TRACER.DAYS",,
"LETTER.OF.CREDIT>DIRECT.COLL.NO",,
"LETTER.OF.CREDIT>RISK.PARTY|CUSTOMER","type","strong"
"LETTER.OF.CREDIT>AMEND.NO",,
"LETTER.OF.CREDIT>AMEND.STATUS",,
"LETTER.OF.CREDIT>LIMIT.UPDATE",,
"LETTER.OF.CREDIT>TOT.PEND.MVMT",,
"LETTER.OF.CREDIT>PEND.DEC.MVMT",,
"LETTER.OF.CREDIT>CHARGE.BASE.AMT",,
"LETTER.OF.CREDIT>CONFIRMATION.AMT",,
"LETTER.OF.CREDIT>CONF.LIAB.AMT",,
"LETTER.OF.CREDIT>UNCONF.LIAB.AMT",,
"LETTER.OF.CREDIT>UNCONF.LIMIT.REF",,
"LETTER.OF.CREDIT>LIMIT.WITH.PROV",,
"LETTER.OF.CREDIT>COLL.MAT.CODE",,
"LETTER.OF.CREDIT>PREADV.LIMIT",,
"LETTER.OF.CREDIT>PART.SHIP.TEXT",,
"LETTER.OF.CREDIT>CONF.ADDL.INST",,
"LETTER.OF.CREDIT>PRE.ADV.REF",,
"LETTER.OF.CREDIT>APPLICANT.BANK",,
"LETTER.OF.CREDIT>ISS.BANK.REF",,
"LETTER.OF.CREDIT>GTEE.REFERENCE",,
"LETTER.OF.CREDIT>GTEE.MARGIN.AMT",,
"LETTER.OF.CREDIT>ACK.ACPT.AMOUNT",,
"LETTER.OF.CREDIT>LMT.FOR.REVOLVING",,
"LETTER.OF.CREDIT>CUR.REVOL.LIAB",,
"LETTER.OF.CREDIT>730.ACC.WITH.BK",,
"LETTER.OF.CREDIT>CHARGES.DET",,
"LETTER.OF.CREDIT>730.SND.RCV.INF",,
"LETTER.OF.CREDIT>NEG.WITH.BANK",,
"LETTER.OF.CREDIT>REIMB.BK.CHGS",,
"LETTER.OF.CREDIT>REIMB.BK.REF",,
"LETTER.OF.CREDIT>REIMB.NARRATIVE",,
"LETTER.OF.CREDIT>ACK.CHG.CLAIM",,
"LETTER.OF.CREDIT>AUTH.REIMB.DT",,
"LETTER.OF.CREDIT>LC.ORIG.RATE",,
"LETTER.OF.CREDIT>OTHER.DESPATCH.DET",,
"LETTER.OF.CREDIT>FINAL.DESTINATION",,
"LETTER.OF.CREDIT>APPL.RULE.CODES",,
"LETTER.OF.CREDIT>APPL.RULE.DESC",,
"LETTER.OF.CREDIT>APPL.RULE.MT740",,
"LETTER.OF.CREDIT>PREV.CONFIRM.INST",,
"LETTER.OF.CREDIT>FORWARD.CONTRACT|FOREX","type","strong"
"LETTER.OF.CREDIT>INCO.TERMS|LC.ENRICHMENT","type","strong"
"LETTER.OF.CREDIT>PAY.TERMS",,
"LETTER.OF.CREDIT>TRANSFERABLE",,
"LETTER.OF.CREDIT>STAND.BY",,
"LETTER.OF.CREDIT>CLIENT.REF",,
"LETTER.OF.CREDIT>CONTACT.INFO",,
"LETTER.OF.CREDIT>IB.LIMIT",,
"LETTER.OF.CREDIT>LIMIT.BROKEN",,
"LETTER.OF.CREDIT>ADV.BK.CONFIRM",,
"LETTER.OF.CREDIT>IB.STATUS",,
"LETTER.OF.CREDIT>IB.REASON",,
"LETTER.OF.CREDIT>SL.REF.TRANCHE",,
"LETTER.OF.CREDIT>BASE.CCY.RATE",,
"LETTER.OF.CREDIT>PART.SHARE",,
"LETTER.OF.CREDIT>PART.AMOUNT",,
"LETTER.OF.CREDIT>OWN.PART.AMOUNT",,
"LETTER.OF.CREDIT>SYNDICATE.CHARGE",,
"LETTER.OF.CREDIT>USANCE.DAYS",,
"LETTER.OF.CREDIT>PRODUCT.TYPE",,
"LETTER.OF.CREDIT>PRESENTATION.DAYS",,
"LETTER.OF.CREDIT>CHG.CODE",,
"LETTER.OF.CREDIT>PARTICIPANT|CUSTOMER","type","strong"
"LETTER.OF.CREDIT>SL.LINK.DATE",,
"LETTER.OF.CREDIT>FREE.TEXT.MSG",,
"LETTER.OF.CREDIT>MT202.SND.RCV.INF",,
"LETTER.OF.CREDIT>PROV.CALC.BASE",,
"LETTER.OF.CREDIT>AUTO.EXPIRY",,
"LETTER.OF.CREDIT>SEND.MT740",,
"LETTER.OF.CREDIT>INWARD.MSG.TYPE",,
"LETTER.OF.CREDIT>INWARD.MSG.REF",,
"LETTER.OF.CREDIT>COMM.CODE|PERIODIC.COMMISSION","type","strong"
"LETTER.OF.CREDIT>COMM.FREQUENCY",,
"LETTER.OF.CREDIT>COMM.RATE",,
"LETTER.OF.CREDIT>FIXED.COMM.AMT",,
"LETTER.OF.CREDIT>ACCRUAL.PARAM|EB.ACCRUAL.PARAM","type","strong"
"LETTER.OF.CREDIT>COMM.ACCOUNT|ACCOUNT","type","strong"
"LETTER.OF.CREDIT>COMM.EXCH.RATE",,
"LETTER.OF.CREDIT>COMM.CLAIMED",,
"LETTER.OF.CREDIT>BWD.FWD.KEY",,
"LETTER.OF.CREDIT>COMM.AMOUNT",,
"LETTER.OF.CREDIT>COMM.TAX.AMT",,
"LETTER.OF.CREDIT>CSN.CODE|FT.COMMISSION.TYPE","type","strong"
"LETTER.OF.CREDIT>UPTO.DAYS",,
"LETTER.OF.CREDIT>UPTO.AMT",,
"LETTER.OF.CREDIT>CSN.RATE",,
"LETTER.OF.CREDIT>CSN.AMT",,
"LETTER.OF.CREDIT>RETURN.COMM",,
"LETTER.OF.CREDIT>COMM.PARTY.CHG",,
"LETTER.OF.CREDIT>MODE.OF.SHIPMENT",,
"LETTER.OF.CREDIT>AVAILABLE.BY",,
"LETTER.OF.CREDIT>DOCUMENT.ID|LC.ADVICE.TEXT","type","strong"
"LETTER.OF.CREDIT>IN.BK.TO.BK",,
"LETTER.OF.CREDIT>SEND.COLL.MSG",,
"LETTER.OF.CREDIT>NOPAY.REASON",,
"LETTER.OF.CREDIT>AVAL.REQ",,
"LETTER.OF.CREDIT>AVAL.BY",,
"LETTER.OF.CREDIT>AVAL.CUST.NO|CUSTOMER","type","strong"
"LETTER.OF.CREDIT>AVAL.CUST",,
"LETTER.OF.CREDIT>AVAL.DATE",,
"LETTER.OF.CREDIT>COMM.START.DATE",,
"LETTER.OF.CREDIT>ADVISING.DATE",,
"LETTER.OF.CREDIT>CONFIRMATION.DATE",,
"LETTER.OF.CREDIT>WAIVE.COMM",,
"LETTER.OF.CREDIT>DOCS.RECEIVED",,
"LETTER.OF.CREDIT>SUPPORT.DOCS",,
"LETTER.OF.CREDIT>DOCUMENT.NAME",,
"LETTER.OF.CREDIT>IB.CUST.TO.BK",,
"LI.COLLATERAL>@ID",,
"LI.COLLATERAL>COLLATERAL.RIGHT|COLLATERAL.RIGHT","type","strong"
"LI.COLLATERAL.RIGHT>@ID",,
"LI.COLLATERAL.RIGHT>COLLATERAL.RIGHT|COLLATERAL.RIGHT","type","strong"
"LI.CUST.RISK.COLLAT>@ID|CUSTOMER","type","strong"
"LI.CUST.RISK.COLLAT>RISK.CODE|LIMIT.REFERENCE","type","strong"
"LI.CUST.RISK.COLLAT>RISK.AMOUNT",,
"LI.CUST.RISK.COLLAT>COLLAT.CODE|LIMIT.COLLAT","type","strong"
"LI.CUST.RISK.COLLAT>COLLAT.AMOUNT",,
"LI.CUSTOMER.GROUP>@ID",,
"LI.CUSTOMER.GROUP>GROUP.ID",,
"LI.GROUP.TRIGGER.RECALC>@ID",,
"LI.GROUP.TRIGGER.RECALC>MASTER.GROUP.KEY",,
"LI.GROUP.TRIGGER.RECALC>SERIAL.NO",,
"LI.LIMIT.DEFINE.PRIORITY>@ID",,
"LI.LIMIT.DEFINE.PRIORITY>PRIORITY",,
"LI.LIMIT.DEFINE.PRIORITY>CUSTOMER.PRIORITY",,
"LI.LIMIT.GROUP.ALLOCATION>@ID",,
"LI.LIMIT.GROUP.ALLOCATION>DEAL.REFERENCE",,
"LI.LIMIT.GROUP.ALLOCATION>DEAL.CURRENCY",,
"LI.LIMIT.GROUP.ALLOCATION>DEAL.AMOUNT",,
"LI.LIMIT.GROUP.ALLOCATION>OVERDRAW.AMT",,
"LI.LIMIT.GROUP.ALLOCATION>LIMIT.KEY",,
"LI.LIMIT.GROUP.ALLOCATION>LIMIT.AMT.ALLOC",,
"LI.LIMIT.GROUP.ALLOCATION>GROUP.KEY",,
"LI.LIMIT.GROUP.ALLOCATION>GROUP.CURRENCY",,
"LI.LIMIT.GROUP.ALLOCATION>TOTAL.ALLOCATION",,
"LI.LIMIT.GROUP.ALLOCATION>COMMT.OVERDRAW.AMT",,
"LI.LIMIT.GROUP.ALLOCATION>COMMT.AMT.ALLOC",,
"LI.LIMIT.GROUP.ALLOCATION>OVERDRAW.LIMIT",,
"LI.MARGIN.LEVEL.LOG>@ID",,
"LI.MARGIN.LEVEL.LOG>CURRENCY",,
"LI.MARGIN.LEVEL.LOG>EVENT",,
"LI.MARGIN.LEVEL.LOG>EVENT.PERCENT",,
"LI.MARGIN.LEVEL.LOG>LIMIT.AMOUNT",,
"LI.MARGIN.LEVEL.LOG>SECURED.AMOUNT",,
"LI.MARGIN.LEVEL.LOG>DATE.TIME.STAMP",,
"LI.MARGIN.LEVEL.LOG>PREV.EVENT",,
"LI.MARGIN.LEVEL.LOG>PREV.EVENT.PERCENT",,
"LI.MARGIN.LEVEL.LOG>PREV.LIMIT.AMOUNT",,
"LI.MARGIN.LEVEL.LOG>PREV.SECURED.AMOUNT",,
"LI.MARGIN.LEVEL.LOG>PREV.DATE.TIME",,
"LI.MASTER.GROUP>@ID",,
"LI.MASTER.GROUP>GROUP.KEYS",,
"LI.MASTER.GROUP>GROUP.CUSTOMER",,
"LI.MASTER.GROUP>CUSTOMER.PRIORITY",,
"LI.MASTER.GROUP>SINGLE.CREDIT.LINE",,
"LI.RISK.COLLAT.PARAM>@ID",,
"LI.RISK.COLLAT.PARAM>RISK.CODE",,
"LI.RISK.COLLAT.PARAM>RISK.PERCENTAGE",,
"LI.RISK.COLLAT.PARAM>RISK.NARR",,
"LI.RISK.COLLAT.PARAM>COLLAT.CODE",,
"LI.RISK.COLLAT.PARAM>COLLAT.PRCNTG",,
"LI.RISK.COLLAT.PARAM>COLAT.NAR",,
"LI.RISK.COLLAT.PARAM>COLLAT.ACCT.CD|POSTING.RESTRICT","type","strong"
"LI.RISK.COLLAT.PARAM>FX.PROD.CD|LIMIT.REFERENCE","type","strong"
"LI.RISK.COLLAT.REP.REQ>@ID",,
"LI.RISK.COLLAT.REP.REQ>DESCRIPTION",,
"LI.RISK.COLLAT.REP.REQ>CUSTOMER.START|CUSTOMER","type","strong"
"LI.RISK.COLLAT.REP.REQ>CUSTOMER.END",,
"LI.SUB.GROUP>@ID",,
"LI.SUB.GROUP>SUB.GROUP.ID",,
"LIMIT>LIMIT.CURRENCY",,
"LIMIT>COUNTRY.OF.RISK|COUNTRY","type","strong"
"LIMIT>COUNTRY.PERCENT",,
"LIMIT>APPROVAL.DATE",,
"LIMIT>OFFERED.UNTIL",,
"LIMIT>REVIEW.FREQUENCY",,
"LIMIT>EXPIRY.DATE",,
"LIMIT>ADM.EXTENSION.DATE",,
"LIMIT>PROPOSAL.DATE",,
"LIMIT>ONLINE.LIMIT.DATE",,
"LIMIT>PRODUCT.ALLOWED|LIMIT.REFERENCE","type","strong"
"LIMIT>LIMIT.GRADE|CUSTOMER.STATUS","type","strong"
"LIMIT>GRADE.PERCENT",,
"LIMIT>NOTES",,
"LIMIT>INTERNAL.AMOUNT",,
"LIMIT>ADVISED.AMOUNT",,
"LIMIT>FIXED.VARIABLE",,
"LIMIT>COLLATERAL.CODE",,
"LIMIT>COLL.REQD.AMT",,
"LIMIT>COLL.REQD.PRCNT",,
"LIMIT>UP.TO.PERIOD",,
"LIMIT>PERIOD.AMT",,
"LIMIT>PERIOD.PRCNT",,
"LIMIT>MAXIMUM.SECURED",,
"LIMIT>MAXIMUM.UNSECURED",,
"LIMIT>MAXIMUM.TOTAL",,
"LIMIT>OTHER.SECURED",,
"LIMIT>COLLAT.RIGHT",,
"LIMIT>SECURED.AMT",,
"LIMIT>TIME.CODE",,
"LIMIT>LIMIT.BAND",,
"LIMIT>ONLINE.LIMIT",,
"LIMIT>SUB.ALLOC.TAKEN",,
"LIMIT>SUB.ALLOC.GIVEN",,
"LIMIT>COMMT.AMT.AVAIL",,
"LIMIT>TOTAL.OS",,
"LIMIT>AVAIL.AMT",,
"LIMIT>S.AL.TKN.CCY",,
"LIMIT>S.AL.TKN.AMT",,
"LIMIT>S.AL.GVN.CCY",,
"LIMIT>S.AL.GVN.AMT",,
"LIMIT>COMMITM.CCY",,
"LIMIT>COMMITM.AMT",,
"LIMIT>OS.CCY",,
"LIMIT>OS.AMT",,
"LIMIT>DATE.OF.EXCESS",,
"LIMIT>AMT.LAST.EXCESS",,
"LIMIT>DATE.LAST.MOVED",,
"LIMIT>AMT.LAST.MOVED",,
"LIMIT>DATE.1ST.EXCESS",,
"LIMIT>DATE.LAST.REVAL",,
"LIMIT>ORIGINAL.LIMIT",,
"LIMIT>CLEAN.RISK",,
"LIMIT>DATE.CLRISK.EXC",,
"LIMIT>AVAILABLE.MARKER",,
"LIMIT>RESTRICTED.CUST|CUSTOMER","type","strong"
"LIMIT>ALLOWED.CCY",,
"LIMIT>ALLOWED.AMT",,
"LIMIT>RESTRICTED.CCY",,
"LIMIT>ALLOWED.COMP",,
"LIMIT>RESTRICTED.COMP",,
"LIMIT>COMMODITY|INDUSTRY","type","strong"
"LIMIT>COMMODITY.PCENT",,
"LIMIT>COLLAT.CODE|LIMIT.COLLAT","type","strong"
"LIMIT>COLLAT.CUSTOMER|CUSTOMER","type","strong"
"LIMIT>COLLAT.CCY|CURRENCY","type","strong"
"LIMIT>COLLAT.AMOUNT",,
"LIMIT>COLLAT.PERCENT",,
"LIMIT>COLLAT.LOCATION|COUNTRY","type","strong"
"LIMIT>COLLAT.GRADE|CUSTOMER.STATUS","type","strong"
"LIMIT>COLLAT.NOTES",,
"LIMIT>REDUCING.SCHED",,
"LIMIT>REPAY.FREQ",,
"LIMIT>REPAY.NUMBER",,
"LIMIT>REPAY.CCY",,
"LIMIT>REPAY.AMOUNT",,
"LIMIT>REPAY.END.DATE",,
"LIMIT>REPAY.NOTES",,
"LIMIT>ACC.COMPANY",,
"LIMIT>ACCOUNT",,
"LIMIT>REDUCING.LIMIT",,
"LIMIT>NO.OF.SUB.ALLOCS",,
"LIMIT>FX.OR.TIME.BAND",,
"LIMIT>LIABILITY.NUMBER",,
"LIMIT>RECORD.PARENT",,
"LIMIT>CREDIT.LINE",,
"LIMIT>CHECK.LIMIT",,
"LIMIT>CONSOL.KEY",,
"LIMIT>LIMIT.PRODUCT",,
"LIMIT>ALLOW.NETTING",,
"LIMIT>DISPO.OFFICER|DISPO.OFFICER","type","strong"
"LIMIT>ONLINE.UPDATE",,
"LIMIT>INCREASING.TYPE",,
"LIMIT>INCREASE.FREQ",,
"LIMIT>INCREASE.CCY",,
"LIMIT>INCREASE.AMOUNT",,
"LIMIT>INCR.END.DATE",,
"LIMIT>UNUTIL.ACCT|ACCOUNT","type","strong"
"LIMIT>CURR.UNUTIL.AMT",,
"LIMIT>ALLOW.UNUTIL.CR",,
"LIMIT>PREV.UNUTIL.ACCT",,
"LIMIT>PREV.UNUTIL.AMT",,
"LIMIT>LIAB.NO",,
"LIMIT>REF.NO",,
"LIMIT>SER.NO",,
"LIMIT>CUST.NO|CUSTOMER","type","strong"
"LIMIT>LINE.ID",,
"LIMIT>LAST.DRAW.DATE",,
"LIMIT>ALLOWED.CUST|CUSTOMER","type","strong"
"LIMIT>CREATED.FROM",,
"LIMIT>LIMITS.MODIFIED",,
"LIMIT>UTIL.ACCOUNT|ACCOUNT","type","strong"
"LIMIT>CURR.UTIL.AMT",,
"LIMIT>PREV.UTIL.ACCT",,
"LIMIT>PREV.UTIL.AMT",,
"LIMIT>ALLOC.WORK.ID",,
"LIMIT>@ID",,
"LIMIT>RELATIVE.LIMIT|LIMIT","type","strong"
"LIMIT>REDUCE.INT.AMT",,
"LIMIT>MARGIN.EVENT",,
"LIMIT>OD.COND.ACCOUNT",,
"LIMIT>MARGIN.LEVEL",,
"LIMIT>ADDL.INCREASE",,
"LIMIT>INTERNAL.BAND.AMT",,
"LIMIT>BAND.AVAIL.MARK",,
"LIMIT>TC.RESERVED.7",,
"LIMIT>TC.RESERVED.6",,
"LIMIT>TC.RESERVED.5",,
"LIMIT>TC.RESERVED.4",,
"LIMIT>TC.RESERVED.3",,
"LIMIT>TC.RESERVED.2",,
"LIMIT>TC.RESERVED.1",,
"LIMIT>LOAN.TO.VALUE",,
"LIMIT>IDL.EFFECTIVE.DATE",,
"LIMIT>IDL.APPROVED.AMOUNT",,
"LIMIT>IDL.ADVISED.AMOUNT",,
